"origin","year","month","day","hour","arr_delay","carrier","flight","tailnum","dest","air_time","distance","minute","wind_dir","wind_speed","wind_gust","precip","pressure","visib"
"EWR",2017,1,21,20,59,"UA",1149,"N37468","MCO",143,937,59,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,7,"EV",4254,"N14105","BUF",46,282,40,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-10,"EV",4119,"N15985","RIC",50,277,15,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-25,"UA",1766,"N35204","CLE",64,404,5,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-30,"UA",1926,"N16217","MSY",169,1167,59,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-24,"UA",1543,"N73275","SJU",193,1608,20,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-21,"UA",1248,"N489UA","ORD",110,719,25,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-23,"UA",1983,"N87513","TPA",145,997,0,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-3,"UA",1071,"N68836","BQN",186,1585,59,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,8,"EV",4006,"N12195","DCA",43,199,45,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,20,-11,"EV",3777,"N14558","CAK",60,382,0,240,8.05546,9.2700622588,0,1009.6,8
"EWR",2017,1,21,21,-1,"UA",1525,"N470UA","BDL",26,116,30,220,6.90468,7.9457676504,0,1009.6,7
"EWR",2017,1,21,21,9,"EV",3864,"N11536","ROC",53,246,55,220,6.90468,7.9457676504,0,1009.6,7
"EWR",2017,1,21,21,-17,"NK",527,"N625NK","FLL",142,1065,0,220,6.90468,7.9457676504,0,1009.6,7
"EWR",2017,1,21,21,14,"B6",705,"N828JB","FLL",148,1065,30,220,6.90468,7.9457676504,0,1009.6,7
"EWR",2017,1,21,21,-12,"UA",1775,"N67812","BOS",43,200,40,220,6.90468,7.9457676504,0,1009.6,7
"EWR",2017,10,14,19,8,"VX",1195,"N624VA","SFO",341,2565,10,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-11,"UA",904,"N62892","MSY",154,1167,45,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-21,"UA",2006,"N505UA","SFO",337,2565,30,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-11,"UA",1837,"N17753","AUS",197,1504,46,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-4,"EV",4069,"N12900","STL",143,872,35,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-18,"UA",694,"N441UA","SLC",265,1969,15,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-15,"UA",1611,"N68823","PHX",287,2133,30,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-18,"UA",513,"N33262","FLL",141,1065,35,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-25,"UA",248,"N62883","SEA",327,2402,40,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,11,"UA",66,"N34222","PDX",328,2434,10,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-29,"UA",1682,"N66837","TPA",130,997,1,0,0,0,0,1021.3,10
"EWR",2017,10,14,19,-34,"B6",1005,"N579JB","FLL",135,1065,25,0,0,0,0,1021.3,10
